Year,Geography,Gender ,Age ,Value
2015,Hiawatha First Nation,Men+,,0.0
2015,Hiawatha First Nation,Men+,0 to 17 years,0.0
2015,Hiawatha First Nation,Men+,18 to 24 years,0.0
2015,Hiawatha First Nation,Men+,25 to 54 years,0.0
2015,Hiawatha First Nation,Men+,55 to 64 years,0.0
2015,Hiawatha First Nation,Men+,65 years and over,0.0
2020,Hiawatha First Nation,Men+,,0.0
2020,Hiawatha First Nation,Men+,0 to 17 years,0.0
2020,Hiawatha First Nation,Men+,18 to 24 years,0.0
2020,Hiawatha First Nation,Men+,25 to 54 years,0.0
2020,Hiawatha First Nation,Men+,55 to 64 years,0.0
2020,Hiawatha First Nation,Men+,65 years and over,0.0
2015,Hiawatha First Nation,Men+,,0.0
2015,Hiawatha First Nation,Men+,0 to 17 years,0.0
2015,Hiawatha First Nation,Men+,18 to 24 years,0.0
2015,Hiawatha First Nation,Men+,25 to 54 years,0.0
2015,Hiawatha First Nation,Men+,55 to 64 years,0.0
2015,Hiawatha First Nation,Men+,65 years and over,0.0
2020,Hiawatha First Nation,Women+,,0.0
2020,Hiawatha First Nation,Women+,0 to 17 years,0.0
2020,Hiawatha First Nation,Women+,18 to 24 years,0.0
2020,Hiawatha First Nation,Women+,25 to 54 years,0.0
2020,Hiawatha First Nation,Women+,55 to 64 years,0.0
2020,Hiawatha First Nation,Women+,65 years and over,0.0
2015,Hiawatha First Nation,Women+,,0.0
2015,Hiawatha First Nation,Women+,0 to 17 years,0.0
2015,Hiawatha First Nation,Women+,18 to 24 years,0.0
2015,Hiawatha First Nation,Women+,25 to 54 years,0.0
2015,Hiawatha First Nation,Women+,55 to 64 years,0.0
2015,Hiawatha First Nation,Women+,65 years and over,0.0
2020,Hiawatha First Nation,Women+,,0.0
2020,Hiawatha First Nation,Women+,0 to 17 years,0.0
2020,Hiawatha First Nation,Women+,18 to 24 years,0.0
2020,Hiawatha First Nation,Women+,25 to 54 years,0.0
2020,Hiawatha First Nation,Women+,55 to 64 years,0.0
2020,Hiawatha First Nation,Women+,65 years and over,0.0
2015,Hiawatha First Nation,Women+,,0.0
2015,Hiawatha First Nation,Women+,0 to 17 years,0.0
2015,Hiawatha First Nation,Women+,18 to 24 years,0.0
2015,Hiawatha First Nation,Women+,25 to 54 years,0.0
2015,Hiawatha First Nation,Women+,55 to 64 years,0.0
2015,Hiawatha First Nation,Women+,65 years and over,0.0
2020,Cavan Monaghan,,,3.5
2020,Cavan Monaghan,,0 to 17 years,3.3
2020,Cavan Monaghan,,18 to 24 years,4.4
2020,Cavan Monaghan,,25 to 54 years,2.9
2020,Cavan Monaghan,,55 to 64 years,7.5
2020,Cavan Monaghan,,65 years and over,1.3
2015,Cavan Monaghan,,,7.7
2015,Cavan Monaghan,,0 to 17 years,11.8
2015,Cavan Monaghan,,18 to 24 years,7.0
2015,Cavan Monaghan,,25 to 54 years,6.3
2015,Cavan Monaghan,,55 to 64 years,9.4
2015,Cavan Monaghan,,65 years and over,4.3
2020,Cavan Monaghan,,,15.8
2020,Cavan Monaghan,,0 to 17 years,0.0
2020,Cavan Monaghan,,18 to 24 years,80.0
2020,Cavan Monaghan,,25 to 54 years,14.6
2020,Cavan Monaghan,,55 to 64 years,27.8
2020,Cavan Monaghan,,65 years and over,5.5
2015,Cavan Monaghan,,,22.5
2015,Cavan Monaghan,,0 to 17 years,0.0
2015,Cavan Monaghan,,18 to 24 years,0.0
2015,Cavan Monaghan,,25 to 54 years,27.7
2015,Cavan Monaghan,,55 to 64 years,22.9
2015,Cavan Monaghan,,65 years and over,14.9
2020,Cavan Monaghan,Men+,,3.4
2020,Cavan Monaghan,Men+,0 to 17 years,2.6
2020,Cavan Monaghan,Men+,18 to 24 years,0.0
2020,Cavan Monaghan,Men+,25 to 54 years,2.0
2020,Cavan Monaghan,Men+,55 to 64 years,8.5
2020,Cavan Monaghan,Men+,65 years and over,0.0
2015,Cavan Monaghan,Men+,,7.4
2015,Cavan Monaghan,Men+,0 to 17 years,11.3
2015,Cavan Monaghan,Men+,18 to 24 years,6.7
2015,Cavan Monaghan,Men+,25 to 54 years,5.5
2015,Cavan Monaghan,Men+,55 to 64 years,11.3
2015,Cavan Monaghan,Men+,65 years and over,3.9
2020,Cavan Monaghan,Men+,,19.2
2020,Cavan Monaghan,Men+,0 to 17 years,0.0
2020,Cavan Monaghan,Men+,18 to 24 years,0.0
2020,Cavan Monaghan,Men+,25 to 54 years,14.8
2020,Cavan Monaghan,Men+,55 to 64 years,27.3
2020,Cavan Monaghan,Men+,65 years and over,0.0
2015,Cavan Monaghan,Men+,,23.1
2015,Cavan Monaghan,Men+,0 to 17 years,0.0
2015,Cavan Monaghan,Men+,18 to 24 years,0.0
2015,Cavan Monaghan,Men+,25 to 54 years,27.3
2015,Cavan Monaghan,Men+,55 to 64 years,35.0
2015,Cavan Monaghan,Men+,65 years and over,0.0
2020,Cavan Monaghan,Women+,,3.7
2020,Cavan Monaghan,Women+,0 to 17 years,3.0
2020,Cavan Monaghan,Women+,18 to 24 years,0.0
2020,Cavan Monaghan,Women+,25 to 54 years,3.7
2020,Cavan Monaghan,Women+,55 to 64 years,7.1
2020,Cavan Monaghan,Women+,65 years and over,0.0
2015,Cavan Monaghan,Women+,,8.0
2015,Cavan Monaghan,Women+,0 to 17 years,12.4
2015,Cavan Monaghan,Women+,18 to 24 years,5.9
2015,Cavan Monaghan,Women+,25 to 54 years,6.8
2015,Cavan Monaghan,Women+,55 to 64 years,8.0
2015,Cavan Monaghan,Women+,65 years and over,5.3
2020,Cavan Monaghan,Women+,,13.9
2020,Cavan Monaghan,Women+,0 to 17 years,0.0
2020,Cavan Monaghan,Women+,18 to 24 years,0.0
2020,Cavan Monaghan,Women+,25 to 54 years,0.0
2020,Cavan Monaghan,Women+,55 to 64 years,26.7
2020,Cavan Monaghan,Women+,65 years and over,0.0
2015,Cavan Monaghan,Women+,,21.9
2015,Cavan Monaghan,Women+,0 to 17 years,0.0
2015,Cavan Monaghan,Women+,18 to 24 years,0.0
2015,Cavan Monaghan,Women+,25 to 54 years,28.6
2015,Cavan Monaghan,Women+,55 to 64 years,0.0
2015,Cavan Monaghan,Women+,65 years and over,16.7
2020,Peterborough (City),,,9.8
2020,Peterborough (City),,0 to 17 years,8.2
2020,Peterborough (City),,18 to 24 years,25.3
2020,Peterborough (City),,25 to 54 years,9.4
2020,Peterborough (City),,55 to 64 years,12.7
2020,Peterborough (City),,65 years and over,3.5
2015,Peterborough (City),,,18.3
2015,Peterborough (City),,0 to 17 years,21.6
2015,Peterborough (City),,18 to 24 years,37.2
2015,Peterborough (City),,25 to 54 years,18.8
2015,Peterborough (City),,55 to 64 years,15.9
2015,Peterborough (City),,65 years and over,6.6
2020,Peterborough (City),,,26.1
2020,Peterborough (City),,0 to 17 years,100.0
2020,Peterborough (City),,18 to 24 years,61.0
2020,Peterborough (City),,25 to 54 years,25.4
2020,Peterborough (City),,55 to 64 years,34.2
2020,Peterborough (City),,65 years and over,8.2
2015,Peterborough (City),,,38.9
2015,Peterborough (City),,0 to 17 years,100.0
2015,Peterborough (City),,18 to 24 years,84.2
2015,Peterborough (City),,25 to 54 years,40.5
2015,Peterborough (City),,55 to 64 years,39.9
2015,Peterborough (City),,65 years and over,15.2
2020,Peterborough (City),Men+,,10.1
2020,Peterborough (City),Men+,0 to 17 years,7.8
2020,Peterborough (City),Men+,18 to 24 years,23.4
2020,Peterborough (City),Men+,25 to 54 years,10.5
2020,Peterborough (City),Men+,55 to 64 years,13.6
2020,Peterborough (City),Men+,65 years and over,3.2
2015,Peterborough (City),Men+,,18.2
2015,Peterborough (City),Men+,0 to 17 years,20.8
2015,Peterborough (City),Men+,18 to 24 years,36.0
2015,Peterborough (City),Men+,25 to 54 years,18.7
2015,Peterborough (City),Men+,55 to 64 years,16.4
2015,Peterborough (City),Men+,65 years and over,5.8
2020,Peterborough (City),Men+,,30.2
2020,Peterborough (City),Men+,0 to 17 years,0.0
2020,Peterborough (City),Men+,18 to 24 years,60.0
2020,Peterborough (City),Men+,25 to 54 years,28.2
2020,Peterborough (City),Men+,55 to 64 years,38.7
2020,Peterborough (City),Men+,65 years and over,10.2
2015,Peterborough (City),Men+,,44.0
2015,Peterborough (City),Men+,0 to 17 years,100.0
2015,Peterborough (City),Men+,18 to 24 years,83.1
2015,Peterborough (City),Men+,25 to 54 years,41.5
2015,Peterborough (City),Men+,55 to 64 years,43.1
2015,Peterborough (City),Men+,65 years and over,18.7
2020,Peterborough (City),Women+,,9.5
2020,Peterborough (City),Women+,0 to 17 years,8.5
2020,Peterborough (City),Women+,18 to 24 years,27.2
2020,Peterborough (City),Women+,25 to 54 years,8.4
2020,Peterborough (City),Women+,55 to 64 years,12.0
2020,Peterborough (City),Women+,65 years and over,3.8
2015,Peterborough (City),Women+,,18.3
2015,Peterborough (City),Women+,0 to 17 years,22.4
2015,Peterborough (City),Women+,18 to 24 years,38.2
2015,Peterborough (City),Women+,25 to 54 years,18.9
2015,Peterborough (City),Women+,55 to 64 years,15.4
2015,Peterborough (City),Women+,65 years and over,7.2
2020,Peterborough (City),Women+,,23.0
2020,Peterborough (City),Women+,0 to 17 years,100.0
2020,Peterborough (City),Women+,18 to 24 years,61.9
2020,Peterborough (City),Women+,25 to 54 years,22.1
2020,Peterborough (City),Women+,55 to 64 years,30.2
2020,Peterborough (City),Women+,65 years and over,7.3
2015,Peterborough (City),Women+,,34.8
2015,Peterborough (City),Women+,0 to 17 years,100.0
2015,Peterborough (City),Women+,18 to 24 years,85.7
2015,Peterborough (City),Women+,25 to 54 years,39.1
2015,Peterborough (City),Women+,55 to 64 years,37.5
2015,Peterborough (City),Women+,65 years and over,13.7
2020,Selwyn,,,3.5
2020,Selwyn,,0 to 17 years,4.1
2020,Selwyn,,18 to 24 years,4.5
2020,Selwyn,,25 to 54 years,3.6
2020,Selwyn,,55 to 64 years,5.0
2020,Selwyn,,65 years and over,1.9
2015,Selwyn,,,8.8
2015,Selwyn,,0 to 17 years,12.9
2015,Selwyn,,18 to 24 years,9.8
2015,Selwyn,,25 to 54 years,8.4
2015,Selwyn,,55 to 64 years,10.2
2015,Selwyn,,65 years and over,4.8
2020,Selwyn,,,14.5
2020,Selwyn,,0 to 17 years,0.0
2020,Selwyn,,18 to 24 years,53.8
2020,Selwyn,,25 to 54 years,16.7
2020,Selwyn,,55 to 64 years,27.0
2020,Selwyn,,65 years and over,6.4
2015,Selwyn,,,27.7
2015,Selwyn,,0 to 17 years,0.0
2015,Selwyn,,18 to 24 years,64.7
2015,Selwyn,,25 to 54 years,35.9
2015,Selwyn,,55 to 64 years,36.4
2015,Selwyn,,65 years and over,14.3
2020,Selwyn,Men+,,3.7
2020,Selwyn,Men+,0 to 17 years,3.7
2020,Selwyn,Men+,18 to 24 years,6.9
2020,Selwyn,Men+,25 to 54 years,3.4
2020,Selwyn,Men+,55 to 64 years,6.7
2020,Selwyn,Men+,65 years and over,1.7
2015,Selwyn,Men+,,8.7
2015,Selwyn,Men+,0 to 17 years,14.8
2015,Selwyn,Men+,18 to 24 years,10.9
2015,Selwyn,Men+,25 to 54 years,7.9
2015,Selwyn,Men+,55 to 64 years,9.0
2015,Selwyn,Men+,65 years and over,4.4
2020,Selwyn,Men+,,17.9
2020,Selwyn,Men+,0 to 17 years,0.0
2020,Selwyn,Men+,18 to 24 years,0.0
2020,Selwyn,Men+,25 to 54 years,17.5
2020,Selwyn,Men+,55 to 64 years,35.1
2020,Selwyn,Men+,65 years and over,7.5
2015,Selwyn,Men+,,25.9
2015,Selwyn,Men+,0 to 17 years,0.0
2015,Selwyn,Men+,18 to 24 years,75.0
2015,Selwyn,Men+,25 to 54 years,29.1
2015,Selwyn,Men+,55 to 64 years,29.5
2015,Selwyn,Men+,65 years and over,14.5
2020,Selwyn,Women+,,3.3
2020,Selwyn,Women+,0 to 17 years,4.5
2020,Selwyn,Women+,18 to 24 years,0.0
2020,Selwyn,Women+,25 to 54 years,3.8
2020,Selwyn,Women+,55 to 64 years,3.4
