"Year","GEO","DGUID","Gender (3a)","Economic family characteristics of persons (13)","Statistics (6C)","Age (8)","Individual MBM poverty status (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.1.5.7","48.2","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.1.6.1","5595190","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Poverty status - not applicable","","0","units","0","","2265.1.1.1.6.2","19600","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Poverty status - applicable","","0","units","0","","2265.1.1.1.6.3","5575585","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","25 to 54 years","In poverty","","0","units","0","","2265.1.1.1.6.4","461700","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Not in poverty","","0","units","0","","2265.1.1.1.6.5","5113885","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Poverty rate (%)","","0","units","0","","2265.1.1.1.6.6","8.3","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.1.6.7","37.0","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","55 to 64 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.1.7.1","1989455","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","55 to 64 years","Poverty status - not applicable","","0","units","0","","2265.1.1.1.7.2","6490","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","55 to 64 years","Poverty status - applicable","","0","units","0","","2265.1.1.1.7.3","1982970","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","55 to 64 years","In poverty","","0","units","0","","2265.1.1.1.7.4","176085","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","55 to 64 years","Not in poverty","","0","units","0","","2265.1.1.1.7.5","1806880","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","55 to 64 years","Poverty rate (%)","","0","units","0","","2265.1.1.1.7.6","8.9","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","55 to 64 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.1.7.7","35.0","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","65 years and over","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.1.8.1","2510275","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","65 years and over","Poverty status - not applicable","","0","units","0","","2265.1.1.1.8.2","6045","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","65 years and over","Poverty status - applicable","","0","units","0","","2265.1.1.1.8.3","2504230","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","65 years and over","In poverty","","0","units","0","","2265.1.1.1.8.4","119905","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","65 years and over","Not in poverty","","0","units","0","","2265.1.1.1.8.5","2384325","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","65 years and over","Poverty rate (%)","","0","units","0","","2265.1.1.1.8.6","4.8","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2020","65 years and over","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.1.8.7","25.8","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","Total - Age","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.4.1.1","13242160","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","Total - Age","Poverty status - not applicable","","0","units","0","","2265.1.1.4.1.2","58100","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","Total - Age","Poverty status - applicable","","0","units","0","","2265.1.1.4.1.3","13184060","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","Total - Age","In poverty","","0","units","0","","2265.1.1.4.1.4","2049135","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","Total - Age","Not in poverty","","0","units","0","","2265.1.1.4.1.5","11134925","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","Total - Age","Poverty rate (%)","","0","units","0","","2265.1.1.4.1.6","15.5","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","Total - Age","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.4.1.7","34.9","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 17 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.4.2.1","2676275","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 17 years","Poverty status - not applicable","","0","units","0","","2265.1.1.4.2.2","18980","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 17 years","Poverty status - applicable","","0","units","0","","2265.1.1.4.2.3","2657300","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 17 years","In poverty","","0","units","0","","2265.1.1.4.2.4","530240","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 17 years","Not in poverty","","0","units","0","","2265.1.1.4.2.5","2127055","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 17 years","Poverty rate (%)","","0","units","0","","2265.1.1.4.2.6","20.0","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 17 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.4.2.7","31.0","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 5 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.4.3.1","840495","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 5 years","Poverty status - not applicable","","0","units","0","","2265.1.1.4.3.2","6595","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 5 years","Poverty status - applicable","","0","units","0","","2265.1.1.4.3.3","833900","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 5 years","In poverty","","0","units","0","","2265.1.1.4.3.4","182030","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 5 years","Not in poverty","","0","units","0","","2265.1.1.4.3.5","651870","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 5 years","Poverty rate (%)","","0","units","0","","2265.1.1.4.3.6","21.8","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","0 to 5 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.4.3.7","31.2","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","6 to 17 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.4.4.1","1835775","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","6 to 17 years","Poverty status - not applicable","","0","units","0","","2265.1.1.4.4.2","12385","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","6 to 17 years","Poverty status - applicable","","0","units","0","","2265.1.1.4.4.3","1823395","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","6 to 17 years","In poverty","","0","units","0","","2265.1.1.4.4.4","348210","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","6 to 17 years","Not in poverty","","0","units","0","","2265.1.1.4.4.5","1475185","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","6 to 17 years","Poverty rate (%)","","0","units","0","","2265.1.1.4.4.6","19.1","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","6 to 17 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.4.4.7","31.0","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","18 to 24 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.4.5.1","1223250","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","18 to 24 years","Poverty status - not applicable","","0","units","0","","2265.1.1.4.5.2","6500","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","18 to 24 years","Poverty status - applicable","","0","units","0","","2265.1.1.4.5.3","1216745","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","18 to 24 years","In poverty","","0","units","0","","2265.1.1.4.5.4","263500","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","18 to 24 years","Not in poverty","","0","units","0","","2265.1.1.4.5.5","953240","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","18 to 24 years","Poverty rate (%)","","0","units","0","","2265.1.1.4.5.6","21.7","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","18 to 24 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.4.5.7","45.7","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","25 to 54 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.4.6.1","5410555","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","25 to 54 years","Poverty status - not applicable","","0","units","0","","2265.1.1.4.6.2","21520","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","25 to 54 years","Poverty status - applicable","","0","units","0","","2265.1.1.4.6.3","5389035","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","25 to 54 years","In poverty","","0","units","0","","2265.1.1.4.6.4","844150","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","25 to 54 years","Not in poverty","","0","units","0","","2265.1.1.4.6.5","4544885","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","25 to 54 years","Poverty rate (%)","","0","units","0","","2265.1.1.4.6.6","15.7","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","25 to 54 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.4.6.7","35.9","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","55 to 64 years","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.4.7.1","1818565","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","55 to 64 years","Poverty status - not applicable","","0","units","0","","2265.1.1.4.7.2","6145","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","55 to 64 years","Poverty status - applicable","","0","units","0","","2265.1.1.4.7.3","1812420","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","55 to 64 years","In poverty","","0","units","0","","2265.1.1.4.7.4","248115","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","55 to 64 years","Not in poverty","","0","units","0","","2265.1.1.4.7.5","1564305","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","55 to 64 years","Poverty rate (%)","","0","units","0","","2265.1.1.4.7.6","13.7","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","55 to 64 years","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.4.7.7","36.1","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","65 years and over","Total - Individual MBM poverty status","","0","units","0","","2265.1.1.4.8.1","2113520","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","65 years and over","Poverty status - not applicable","","0","units","0","","2265.1.1.4.8.2","4955","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","65 years and over","Poverty status - applicable","","0","units","0","","2265.1.1.4.8.3","2108565","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","65 years and over","In poverty","","0","units","0","","2265.1.1.4.8.4","163125","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","65 years and over","Not in poverty","","0","units","0","","2265.1.1.4.8.5","1945440","","","","0"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","65 years and over","Poverty rate (%)","","0","units","0","","2265.1.1.4.8.6","7.7","","","","1"
"2021","Ontario","2021A000235","Total - Gender","Total - Persons by selected economic family characteristics","2015","65 years and over","Average poverty gap ratio (%)","","0","units","0","","2265.1.1.4.8.7","23.3","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","Total - Age","Total - Individual MBM poverty status","","0","units","0","","2265.2.1.1.1.1","6887570","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","Total - Age","Poverty status - not applicable","","0","units","0","","2265.2.1.1.1.2","27420","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","Total - Age","Poverty status - applicable","","0","units","0","","2265.2.1.1.1.3","6860150","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","Total - Age","In poverty","","0","units","0","","2265.2.1.1.1.4","583165","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","Total - Age","Not in poverty","","0","units","0","","2265.2.1.1.1.5","6276990","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","Total - Age","Poverty rate (%)","","0","units","0","","2265.2.1.1.1.6","8.5","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","Total - Age","Average poverty gap ratio (%)","","0","units","0","","2265.2.1.1.1.7","37.6","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Total - Individual MBM poverty status","","0","units","0","","2265.2.1.1.2.1","1401590","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Poverty status - not applicable","","0","units","0","","2265.2.1.1.2.2","8865","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Poverty status - applicable","","0","units","0","","2265.2.1.1.2.3","1392730","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 17 years","In poverty","","0","units","0","","2265.2.1.1.2.4","120900","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Not in poverty","","0","units","0","","2265.2.1.1.2.5","1271835","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Poverty rate (%)","","0","units","0","","2265.2.1.1.2.6","8.7","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 17 years","Average poverty gap ratio (%)","","0","units","0","","2265.2.1.1.2.7","32.0","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Total - Individual MBM poverty status","","0","units","0","","2265.2.1.1.3.1","425965","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Poverty status - not applicable","","0","units","0","","2265.2.1.1.3.2","2735","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Poverty status - applicable","","0","units","0","","2265.2.1.1.3.3","423230","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 5 years","In poverty","","0","units","0","","2265.2.1.1.3.4","39795","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Not in poverty","","0","units","0","","2265.2.1.1.3.5","383430","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Poverty rate (%)","","0","units","0","","2265.2.1.1.3.6","9.4","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","0 to 5 years","Average poverty gap ratio (%)","","0","units","0","","2265.2.1.1.3.7","29.8","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Total - Individual MBM poverty status","","0","units","0","","2265.2.1.1.4.1","975625","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Poverty status - not applicable","","0","units","0","","2265.2.1.1.4.2","6125","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Poverty status - applicable","","0","units","0","","2265.2.1.1.4.3","969505","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","6 to 17 years","In poverty","","0","units","0","","2265.2.1.1.4.4","81100","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Not in poverty","","0","units","0","","2265.2.1.1.4.5","888400","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Poverty rate (%)","","0","units","0","","2265.2.1.1.4.6","8.4","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","6 to 17 years","Average poverty gap ratio (%)","","0","units","0","","2265.2.1.1.4.7","33.0","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Total - Individual MBM poverty status","","0","units","0","","2265.2.1.1.5.1","626890","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Poverty status - not applicable","","0","units","0","","2265.2.1.1.5.2","2825","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Poverty status - applicable","","0","units","0","","2265.2.1.1.5.3","624065","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","18 to 24 years","In poverty","","0","units","0","","2265.2.1.1.5.4","87495","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Not in poverty","","0","units","0","","2265.2.1.1.5.5","536570","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Poverty rate (%)","","0","units","0","","2265.2.1.1.5.6","14.0","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","18 to 24 years","Average poverty gap ratio (%)","","0","units","0","","2265.2.1.1.5.7","49.8","","","","1"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Total - Individual MBM poverty status","","0","units","0","","2265.2.1.1.6.1","2735410","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Poverty status - not applicable","","0","units","0","","2265.2.1.1.6.2","9770","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Poverty status - applicable","","0","units","0","","2265.2.1.1.6.3","2725645","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","25 to 54 years","In poverty","","0","units","0","","2265.2.1.1.6.4","232620","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Not in poverty","","0","units","0","","2265.2.1.1.6.5","2493025","","","","0"
"2021","Ontario","2021A000235","Men+","Total - Persons by selected economic family characteristics","2020","25 to 54 years","Poverty rate (%)","","0","units","0","","2265.2.1.1.6.6","8.5","","","","1"
