Year,GEO,Gender (3a),Economic family characteristics of persons (13),Age (8),Individual MBM poverty status (7),Value
2015,Ontario,Men+,Total - Persons in economic families,Total - Age,In poverty,682765.0
2015,Ontario,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),12.2
2015,Ontario,Men+,Total - Persons in economic families,0 to 17 years,In poverty,268860.0
2015,Ontario,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),19.8
2015,Ontario,Men+,Total - Persons in economic families,0 to 5 years,In poverty,93200.0
2015,Ontario,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),21.9
2015,Ontario,Men+,Total - Persons in economic families,6 to 17 years,In poverty,175665.0
2015,Ontario,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),18.8
2015,Ontario,Men+,Total - Persons in economic families,18 to 24 years,In poverty,69440.0
2015,Ontario,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),12.9
2015,Ontario,Men+,Total - Persons in economic families,25 to 54 years,In poverty,242170.0
2015,Ontario,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),11.2
2015,Ontario,Men+,Total - Persons in economic families,55 to 64 years,In poverty,62720.0
2015,Ontario,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),8.6
2015,Ontario,Men+,Total - Persons in economic families,65 years and over,In poverty,39575.0
2015,Ontario,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),4.9
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,264095.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),26.9
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,In poverty,2510.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),97.1
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,In poverty,2510.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),97.1
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,In poverty,59940.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),59.9
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,120985.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),24.6
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,55190.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),32.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,25465.0
2020,Ontario,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),11.9
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,303785.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),35.3
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,In poverty,3180.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),99.2
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,In poverty,3180.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),99.2
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,In poverty,61455.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),71.6
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,149975.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),33.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,59175.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),39.7
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,30005.0
2015,Ontario,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),17.7
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,575685.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),8.1
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,115030.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),8.7
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,38925.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),9.6
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,76100.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),8.3
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,77730.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),13.4
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,229080.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),8.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,86280.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),8.5
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,67560.0
2020,Ontario,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),5.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,1062580.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),15.8
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,258200.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),20.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,88830.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),21.8
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,169375.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),19.1
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,132605.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),22.4
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,452010.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),16.3
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,126220.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),13.5
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,93545.0
2015,Ontario,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),8.2
2020,Ontario,Women+,Total - Persons in economic families,Total - Age,In poverty,353660.0
2020,Ontario,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),5.8
2020,Ontario,Women+,Total - Persons in economic families,0 to 17 years,In poverty,112720.0
2020,Ontario,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),8.6
2020,Ontario,Women+,Total - Persons in economic families,0 to 5 years,In poverty,38925.0
2020,Ontario,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),9.6
2020,Ontario,Women+,Total - Persons in economic families,6 to 17 years,In poverty,73790.0
2020,Ontario,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),8.1
2020,Ontario,Women+,Total - Persons in economic families,18 to 24 years,In poverty,27530.0
2020,Ontario,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),5.6
2020,Ontario,Women+,Total - Persons in economic families,25 to 54 years,In poverty,149300.0
2020,Ontario,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),6.0
2020,Ontario,Women+,Total - Persons in economic families,55 to 64 years,In poverty,37990.0
2020,Ontario,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),4.5
2020,Ontario,Women+,Total - Persons in economic families,65 years and over,In poverty,26110.0
2020,Ontario,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),2.8
2015,Ontario,Women+,Total - Persons in economic families,Total - Age,In poverty,773260.0
2015,Ontario,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),13.3
2015,Ontario,Women+,Total - Persons in economic families,0 to 17 years,In poverty,254755.0
2015,Ontario,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),19.7
2015,Ontario,Women+,Total - Persons in economic families,0 to 5 years,In poverty,88830.0
2015,Ontario,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),21.8
2015,Ontario,Women+,Total - Persons in economic families,6 to 17 years,In poverty,165925.0
2015,Ontario,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),18.8
2015,Ontario,Women+,Total - Persons in economic families,18 to 24 years,In poverty,74015.0
2015,Ontario,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),14.3
2015,Ontario,Women+,Total - Persons in economic families,25 to 54 years,In poverty,339460.0
2015,Ontario,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),13.9
2015,Ontario,Women+,Total - Persons in economic families,55 to 64 years,In poverty,67070.0
2015,Ontario,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),8.7
2015,Ontario,Women+,Total - Persons in economic families,65 years and over,In poverty,37960.0
2015,Ontario,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),4.9
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,222025.0
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),21.1
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,In poverty,2310.0
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),96.3
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,In poverty,2310.0
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),96.3
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,In poverty,50205.0
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),59.3
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,79785.0
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),21.7
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,48280.0
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),27.7
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,41450.0
2020,Ontario,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),9.8
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,289320.0
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),30.5
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,In poverty,3440.0
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),99.7
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,In poverty,3440.0
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),99.7
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,In poverty,58590.0
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),77.4
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,112550.0
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),33.2
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,59150.0
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),36.1
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,55590.0
2015,Ontario,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),15.2
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,125.0
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),5.5
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,30.0
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),6.3
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,15.0
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),9.4
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,40.0
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),5.1
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,35.0
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),9.9
2020,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,220.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),11.2
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,45.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),10.6
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,35.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),11.7
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,20.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),17.4
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,65.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),9.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,70.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),19.2
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,25.0
2015,Asphodel-Norwood,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),7.2
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,Total - Age,In poverty,80.0
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),3.9
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,0 to 17 years,In poverty,30.0
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),6.3
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,25 to 54 years,In poverty,20.0
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),2.9
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,55 to 64 years,In poverty,15.0
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),5.0
2020,Asphodel-Norwood,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,Total - Age,In poverty,170.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),9.7
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,0 to 17 years,In poverty,40.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),9.5
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,6 to 17 years,In poverty,30.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),10.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,18 to 24 years,In poverty,20.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),19.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,25 to 54 years,In poverty,55.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),8.7
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,55 to 64 years,In poverty,50.0
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),15.6
2015,Asphodel-Norwood,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,50.0
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),20.8
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,20.0
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),23.5
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,15.0
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),27.3
2020,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,50.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),23.3
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,15.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),37.5
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,20.0
2015,Asphodel-Norwood,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),28.6
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,135.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),6.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,15.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),3.9
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,15.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),11.1
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,50.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),6.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,25.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),6.6
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,25.0
2020,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),4.7
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,245.0
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),12.2
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,70.0
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),18.7
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,25.0
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),20.8
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,45.0
