Year,Gender (3a),Economic family characteristics of persons (13),Unnamed: 3,Age (8),Individual MBM poverty status (7),Value
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,176085.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,1806880.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),8.9
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),35.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,2510275.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - not applicable,6045.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,2504230.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,119905.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,2384325.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),4.8
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),25.8
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,13242160.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - not applicable,58100.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,13184060.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,2049135.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,11134925.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),15.5
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),34.9
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,2676275.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - not applicable,18980.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,2657300.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,530240.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,2127055.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),20.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),31.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,840495.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - not applicable,6595.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,833900.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,182030.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,651870.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),21.8
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),31.2
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,1835775.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - not applicable,12385.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,1823395.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,348210.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,1475185.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),19.1
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),31.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,1223250.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - not applicable,6500.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,1216745.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,263500.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,953240.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),21.7
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),45.7
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,5410555.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - not applicable,21520.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,5389035.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,844150.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,4544885.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),15.7
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),35.9
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,1818565.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - not applicable,6145.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,1812420.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,248115.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,1564305.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),13.7
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),36.1
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,2113520.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - not applicable,4955.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,2108565.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,163125.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,1945440.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),7.7
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),23.3
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,6887570.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - not applicable,27420.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,6860150.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,583165.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,6276990.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),8.5
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),37.6
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,1401590.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - not applicable,8865.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,1392730.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,120900.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,1271835.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),8.7
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),32.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,425965.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - not applicable,2735.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,423230.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,39795.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,383430.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),9.4
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),29.8
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,975625.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - not applicable,6125.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,969505.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,81100.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,888400.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),8.4
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),33.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,626890.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - not applicable,2825.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,624065.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,87495.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,536570.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),14.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),49.8
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,2735410.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - not applicable,9770.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,2725645.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,232620.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,2493025.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),8.5
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),38.9
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,965130.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - not applicable,3160.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,961970.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,89815.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,872160.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),9.3
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),36.4
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,1158545.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - not applicable,2805.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,1155745.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,52340.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,1103400.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),4.5
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),27.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,6472240.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - not applicable,29280.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,6442965.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,986550.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,5456405.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),15.3
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),36.2
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,1373210.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - not applicable,9830.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,1363385.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,272040.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,1091345.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),20.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),31.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,429810.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - not applicable,3370.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,426440.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,93200.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,333240.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),21.9
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),31.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,943405.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - not applicable,6460.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,936945.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,178840.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,758105.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),19.1
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),31.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,627310.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - not applicable,3390.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,623920.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,130900.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,493025.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),21.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),46.6
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,2620315.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - not applicable,10655.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,2609660.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,392145.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,2217515.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),15.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),38.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,878310.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - not applicable,3010.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,875300.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,121895.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,753405.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),13.9
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),37.6
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,973095.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - not applicable,2395.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,970700.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,69580.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,901125.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),7.2
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),24.8
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,7144185.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - not applicable,27205.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,7116980.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,575685.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,6541295.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),8.1
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),34.5
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,1325890.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - not applicable,8280.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,1317615.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,115030.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,1202585.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),8.7
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),31.6
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,406380.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - not applicable,2580.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,403805.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,In poverty,38925.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,364875.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),9.6
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),30.1
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,919510.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - not applicable,5700.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,913815.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,76100.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,837710.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),8.3
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),32.4
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,582455.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - not applicable,2525.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,579930.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,In poverty,77730.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,502200.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),13.4
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),46.5
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,2859775.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - not applicable,9835.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,2849945.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,229080.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,2620865.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),8.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),35.1
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,1024330.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - not applicable,3330.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,1021000.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,86280.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,934720.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),8.5
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),33.5
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,1351730.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - not applicable,3240.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,1348490.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,67560.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,1280930.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),5.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),24.9
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,6769920.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - not applicable,28825.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,6741100.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,1062580.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,5678520.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),15.8
